net,length_um
net33,762.76
net62,649.44
net44,634.99
net63,626.165
_00344_,613.81
_00391_,610.33
_01108_,578.56
net4,564.09
net66,559.1
net19,551.79
_00381_,548.3
net129,548.3
net59,546.93
net11,544.34
net70,540.7
net6,536.73
_00410_,536.01
net58,535.31
net96,531.34
net64,528.61
_02467_,520.78
net15,518.27
net46,515.78
net127,505.49
net95,499.4
net97,495.53
_00544_,492.78
_00725_,475.02
_00380_,473.38
_00543_,468.84
_05554_,467.72
_05494_,464.29
net47,463.06
_02703_,462.7
net28,457.63
net102,457.5
_05536_,456.94
_02482_,456.895
net22,455.71
net81,454.44
net12,448.74
net9,441.865
_06775_,441.07
_00670_,440.99
net89,439.97
_01062_,436.5
net83,435.28
net1,433.31
_00460_,432.875
net7,431.53
net24,431.38
_00519_,431.34
net36,429.1
net73,427.8
net52,427.5
net115,426.44
net14,425.28
_05483_,423.72
_03554_,422.36
_04939_,420.9
_00464_,420.02
net111,419.2
_07004_,416.43
_01182_,415.82
_05513_,412.51
_05515_,411.88
net34,410.95
net56,410.88
_01183_,409.28
_01996_,407.955
net117,404.38
_00453_,403.41
net13,400.17
_06885_,397.13
_03015_,396.725
_05447_,396.53
_00393_,396.47
_02051_,394.91
net5,394.01
net76,393.7
net112,391.45
_01415_,388.26
_03268_,386.36
_02151_,386.06
_01252_,385.56
_02039_,383.44
_07040_,381.78
_05566_,380.98
_00989_,378.315
_06937_,377.155
_05456_,376.6
_00891_,376.175
_01066_,374.545
net37,374.17
_00843_,373.975
_01828_,373.11
_02664_,372.075
_06637_,371.605
net126,369.98
_01350_,369.235
_05181_,368.54
_01958_,367.575
net29,367.16
_00844_,366.73
net48,365.93
net119,361.74
net92,361.42
_01188_,360.155
_06428_,359.97
_00526_,359.67
_01383_,359.485
net27,358.4
_00530_,357.79
_01284_,355.56
net60,355.52
net45,354.94
_02246_,354.33
net38,354.035
_02456_,353.66
net40,353.37
_05429_,353.16
_05588_,352.7
_01076_,352.65
net94,351.16
_06810_,350.82
_00376_,350.785
_02007_,350.47
_00004_,350.07
_01155_,350
_06765_,349.11
_01626_,349.085
_02138_,349.075
net8,348.92
_06417_,347.15
net116,346.3
_00508_,345.86
net20,345.22
_00157_,344.62
_00399_,343.345
_00654_,342.41
_00388_,342.26
net10,340.76
_00389_,337.82
_06483_,336.87
_02029_,334.72
_00608_,334.165
_01000_,333.95
_01309_,333.87
_05731_,333.39
_01289_,333.37
_01744_,328.935
_03680_,327.1
_02171_,326.36
_00311_,326.24
_00263_,325.63
net26,325.29
_04873_,324.92
_00628_,324.17
net118,323.92
_05464_,323.6
_01585_,323.545
_05478_,322.725
_06439_,321.61
net121,321.61
_02040_,321.32
_00159_,319.955
_00901_,319.515
net105,319.35
net90,319
_02018_,318.115
_06626_,316.96
_05704_,316.91
_02259_,315.85
_01470_,315.435
_04598_,314.99
_05445_,314.175
net108,313.88
_02008_,313.85
_00943_,312
net43,311.62
_05467_,311.435
net49,310.635
_00257_,310.385
_04378_,307.87
_04862_,307.66
_05203_,306.34
_04367_,306.29
_02280_,305.9
_03070_,304.965
net39,304.4
_05742_,303.67
_00745_,303.575
_01230_,302.12
net50,302.11
_00541_,301.73
_00300_,301.655
_00458_,299.995
net23,299.38
_02149_,298.92
_06964_,298.6
_01586_,297.54
_00650_,296.83
net61,296.27
_02982_,296.14
_05688_,296.02
_06494_,295.81
_00262_,295.76
_06733_,295.49
_01584_,295.335
_00661_,294.38
_02971_,293.78
_03510_,293.645
_00366_,293.31
_06450_,291.4
_00121_,290.82
_03543_,290.7
_02335_,290.42
net30,290.42
_01181_,289.035
_01180_,288.7
_00145_,288.68
_00322_,287.325
_00095_,287.12
_01400_,286.99
_02116_,286.13
_00742_,284.125
_00333_,284.1
_01505_,283.85
_02188_,282.95
net77,282.58
_00416_,282.07
_00310_,280.2
net110,279.9
_03499_,279.74
_05559_,279.67
_03783_,279.25
_00765_,278.56
_00859_,278.4
_00459_,278.255
_00268_,277.93
_02090_,277.68
_06966_,277.67
_00377_,277.64
_06965_,276.645
_05651_,276.57
_00003_,276.51
_00142_,276.485
_05670_,275.76
_04037_,275.39
net82,275.12
_00379_,274.71
_01664_,273.825
_01312_,273.345
_05636_,272.13
_00143_,271.305
_01061_,270.96
_04004_,270.84
_02190_,270.435
_01956_,270.255
_03059_,269.865
_04917_,269.78
_02088_,269.5
_00442_,268.01
_00390_,267.67
_00294_,266.88
_00574_,266.67
_01955_,266.49
_01306_,265.72
_03686_,265.09
_02427_,264.655
_00572_,264.06
net84,263.96
net122,263.78
_01288_,263.3
net35,262.93
_04895_,262.79
_03762_,262.47
_02120_,262.435
_00598_,262.18
_00605_,261.94
_05541_,261.65
_00094_,260.8
_00672_,260.595
_00563_,260.4
_01600_,260.3
_00607_,259.63
_00113_,259.35
_01504_,258.81
_01508_,258.22
_00114_,257.8
_01197_,257.67
_05620_,257.35
_06819_,257.26
_03532_,256.5
_00636_,255.935
_01413_,255.34
_02673_,255.3
_00112_,255.125
_02127_,254.97
_00916_,254.9
_02960_,254.58
net109,254.35
_02426_,252.48
_00355_,252.34
_02726_,251.93
_05509_,251.8
_01954_,251.73
_02766_,251.005
_01361_,250.925
_00439_,250.49
_01369_,250.265
_01060_,249.845
_02105_,249.42
_00613_,249.4
_02459_,249.24
_00392_,249.13
_02249_,248.69
_06461_,248.665
_01517_,248.5
_00158_,248.39
net42,247.9
_01249_,247.58
_06821_,247.14
_00575_,247.12
_03004_,247.01
_00457_,246.32
_00880_,245.1
_02736_,244.78
_03707_,244.69
_01295_,243.97
_00395_,243.67
_00144_,243.65
_00415_,243.11
_00497_,242.77
net101,242.74
_00784_,242.34
_03740_,242.14
net91,241.84
_00373_,241.775
_04906_,241.42
_00293_,241.29
_02720_,241.2
_02735_,240.44
net57,239.78
net21,237.73
_01780_,237.54
_06472_,237.24
_00779_,237.16
net69,237.12
_01156_,236.75
_06873_,236.41
_01405_,236.315
_02731_,236.21
_03414_,236.11
_02133_,236.065
_00915_,235.49
_00151_,235.24
_02119_,235.02
_01414_,234.895
_04600_,234.71
_03521_,234.065
net18,233.84
_02187_,233.465
_01601_,233.32
net98,233.26
_02721_,232.2
_02857_,232.005
_02117_,231.15
_02189_,231.06
_00414_,231.02
_01120_,230.955
_02993_,230.86
_01957_,230.315
net54,229.9
net51,229.52
_04928_,229.19
_04059_,228.76
_00138_,228.7
_01518_,228.06
_02758_,227.09
_02722_,227.055
_02765_,226.695
_00819_,225.92
_00734_,225.7
_01178_,224.67
_03682_,223.14
_01250_,221.135
_05027_,221.07
_04081_,220.53
net55,219.69
_00639_,219.57
_01272_,219.21
_04048_,218.48
_02855_,217.14
_03576_,217.06
net31,217.04
_03587_,216.82
_01260_,216.435
_07010_,216.125
_06744_,215.945
_05595_,215.84
_04268_,215.7
_02728_,213.4
_05192_,213.34
_01233_,211.9
_00978_,210.6
_02719_,210.115
_00352_,209.24
_00818_,208.86
_03894_,208.42
_02743_,208.03
_02730_,207.74
